/people/person/place_of_birth
/people/person/profession
/people/person/nationality
/people/person/education|/education/education/institution
/people/person/places_lived|/people/place_lived/location
/people/deceased_person/place_of_death
/people/person/religion
/people/person/languages
/organization/organization/headquarters|/location/mailing_address/citytown
/people/person/parents
/people/deceased_person/cause_of_death
/people/person/ethnicity
/organization/organization/headquarters/location/mailing_address/postal_code|/location/postal_code/country
/organization/organization/headquarters|/location/mailing_address/state_province_region
/people/person/employment_history|/business/employment_tenure/company
/people/person/spouse_s|/people/marriage/spouse
/people/person/sibling_s|/people/sibling_relationship/sibling
/business/business_operation/industry
/organization/organization/board_members|/organization/organization_board_membership/member
/organization/organization/parent|/organization/organization_relationship/parent
/people/person/employment_history|/business/employment_tenure/title
/organization/organization_founder/organizations_founded
/organization/organization/sectors
/organization/organization/geographic_scope
/organization/membership_organization/members|/organization/organization_membership/member
/organization/organization/leadership|/organization/leadership/person
/organization/organization/place_founded
/organization/organization/legal_structure
/people/family_member/family
/organization/organization/organization_type
/organization/organization/advisors
/organization/organization/partnerships
/organization/organization/locations
/business/product_with_ingredients/ingredients
/business/consumer_product/category
/organization/organization/companies_acquired|/business/acquisition/company_acquired
actorStarredInMovie
athleteCoach
athleteHomeStadium
athletePlaysForTeam
athletePlaysInLeague
athletePlaysSport
bookWriter
ceoOf
coachesInLeague
coachesTeam
competesWith
leagueStadiums
musicArtistGenre
musicianInMusicArtist
musicianPlaysInstrument
newspaperInCity
radioStationInCity
sportUsesEquipment
sportUsesStadium
teamHomeStadium
teammate
teamPlaysAgainstTeam
teamPlaysInCity
teamPlaysInLeague
teamPlaysSport
